Qualified Pre-Rinse Spray Valves			Updated 	 5/17/2017
Qualifying models must be listed in the California Energy Commission database. Pre-rinse spray valves must 				
"have a tested flow rate of 1.15 GPM or less, utilizing ASTM F23-24."				
NOTE: Program criteria are subject to change.				
"Check your utility rebate application for terms and conditions, and effective program dates."				
Company Name	Model Number	"Flow Rate
(GPM)"	Rebate	"PG&E
Measure
Code"
T & S	B-0100-08C-172A	0.65	$35	FS001
T & S	B-0100-C	0.65	$35	FS001
T & S	B-0100-C-SWV	0.65	$35	FS001
T & S	B-0100-J	1.07	$35	FS001
T & S	B-0100-J-SWV	1.07	$35	FS001
T & S	B-0107-C	0.65	$35	FS001
T & S	B-0107-C-72H	0.65	$35	FS001
T & S	B-0107-C35	0.65	$35	FS001
T & S	B-0107-C90	0.65	$35	FS001
T & S	B-0107-J	1.07	$35	FS001
T & S	B-0107-J-72H	1.07	$35	FS001
T & S	B-0107-J-LR	1.07	$35	FS001
T & S	B-0107-J35	1.07	$35	FS001
T & S	B-0107-J90	1.07	$35	FS001
T & S	B-0108-C	0.65	$35	FS001
T & S	B-0113-08C	0.65	$35	FS001
T & S	B-0113-12-CR-BC	0.65	$35	FS001
T & S	B-0113-12-CR-BJ	1.07	$35	FS001
T & S	B-0113-A06-08C	0.65	$35	FS001
T & S	B-0113-A06-B08C	0.65	$35	FS001
T & S	B-0113-A08-B08C	0.65	$35	FS001
T & S	B-0113-A10-08C	0.65	$35	FS001
T & S	B-0113-A10-B08C	0.65	$35	FS001
T & S	B-0113-A12-08C	0.65	$35	FS001
T & S	B-0113-A12-B08C	0.65	$35	FS001
T & S	B-0113-A12-V-BC	0.65	$35	FS001
T & S	B-0113-A12-V-BJ	1.07	$35	FS001
T & S	B-0113-A12CR8C	0.65	$35	FS001
T & S	B-0113-A12CRB8C	0.65	$35	FS001
T & S	B-0113-AD12CRBJ	1.07	$35	FS001
T & S	B-0113-ADF12-BJ	1.07	$35	FS001
T & S	B-0113-B08C	0.65	$35	FS001
T & S	B-0113-BC	0.65	$35	FS001
T & S	B-0113-BC-V9	0.65	$35	FS001
T & S	B-0113-BJ	1.07	$35	FS001
T & S	B-0113-C	0.65	$35	FS001
T & S	B-0113-CR-08C	0.65	$35	FS001
T & S	B-0113-CR-B08C	0.65	$35	FS001
T & S	B-0113-CR-BC	0.65	$35	FS001
T & S	B-0113-CR-BJ	1.07	$35	FS001
T & S	B-0113-CR-C	0.65	$35	FS001
T & S	B-0113-CR-J	1.07	$35	FS001
T & S	B-0113-J	1.07	$35	FS001
T & S	B-0113-V-B08C	0.65	$35	FS001
T & S	B-0113-V-BC	0.65	$35	FS001
T & S	B-0113-V-BJ	1.07	$35	FS001
T & S	B-0117	0.65	$35	FS001
T & S	B-0123-08C	0.65	$35	FS001
T & S	B-0123-12-CR-BC	0.65	$35	FS001
T & S	B-0123-12-CR-BJ	1.07	$35	FS001
T & S	B-0123-A06-B08C	0.65	$35	FS001
T & S	B-0123-A08-08C	0.65	$35	FS001
T & S	B-0123-A08-B08C	0.65	$35	FS001
T & S	B-0123-A10-08C	0.65	$35	FS001
T & S	B-0123-A10-B08C	0.65	$35	FS001
T & S	B-0123-A12-08C	0.65	$35	FS001
T & S	B-0123-A12-B08C	0.65	$35	FS001
T & S	B-0123-A12-V-BC	0.65	$35	FS001
T & S	B-0123-A12-V-BJ	1.07	$35	FS001
T & S	B-0123-A12CR8C	0.65	$35	FS001
T & S	B-0123-A12CRB8C	0.65	$35	FS001
T & S	B-0123-AD12CRBJ	1.07	$35	FS001
T & S	B-0123-ADF08-BJ	1.07	$35	FS001
T & S	B-0123-ADF12-BJ	1.07	$35	FS001
T & S	B-0123-B08C	0.65	$35	FS001
T & S	B-0123-BC	0.65	$35	FS001
T & S	B-0123-BJ	1.07	$35	FS001
T & S	B-0123-C	0.65	$35	FS001
T & S	B-0123-CR-08C	0.65	$35	FS001
T & S	B-0123-CR-B08C	0.65	$35	FS001
T & S	B-0123-CR-BC	0.65	$35	FS001
T & S	B-0123-CR-BJ	1.07	$35	FS001
T & S	B-0123-CR-C	0.65	$35	FS001
T & S	B-0123-CR-J	1.07	$35	FS001
T & S	B-0123-J	1.07	$35	FS001
T & S	B-0123-V-BC	0.65	$35	FS001
T & S	B-0123-V-BJ	1.07	$35	FS001
T & S	B-0126	0.65	$35	FS001
T & S	B-0126-R	0.65	$35	FS001
T & S	B-0126-VB	0.65	$35	FS001
T & S	B-0126-VBR	0.65	$35	FS001
T & S	B-0127	0.65	$35	FS001
T & S	B-0128	0.65	$35	FS001
T & S	B-0128-VB	0.65	$35	FS001
T & S	B-0129	0.65	$35	FS001
T & S	B-0129-ADF	0.65	$35	FS001
T & S	B-0129-ADF-VB	0.65	$35	FS001
T & S	B-0129-CR-VB	0.65	$35	FS001
T & S	B-0129-VB	0.65	$35	FS001
T & S	B-0129-VB-J35	1.07	$35	FS001
T & S	B-0130	0.65	$35	FS001
T & S	B-0131	0.65	$35	FS001
T & S	B-0131-AD12CRBC	0.65	$35	FS001
T & S	B-0131-AD12CRBJ	1.07	$35	FS001
T & S	B-0131-ADF12-BC	0.65	$35	FS001
T & S	B-0131-ADF12-BJ	1.07	$35	FS001
T & S	B-0131-BC	0.65	$35	FS001
T & S	B-0131-BC-28H	0.65	$35	FS001
T & S	B-0131-BC-425	0.65	$35	FS001
T & S	B-0131-BJ	1.07	$35	FS001
T & S	B-0131-BJ-28H	1.07	$35	FS001
T & S	B-0131-BJ-425	1.07	$35	FS001
T & S	B-0131-C	0.65	$35	FS001
T & S	B-0131-CR-BC	0.65	$35	FS001
T & S	B-0131-CR-BJ	1.07	$35	FS001
T & S	B-0131-CR-BJ28H	1.07	$35	FS001
T & S	B-0131-CR-C	0.65	$35	FS001
T & S	B-0131-CR-J	1.07	$35	FS001
T & S	B-0131-J	1.07	$35	FS001
T & S	B-0133-01-J	1.07	$35	FS001
T & S	B-0133-08C	0.65	$35	FS001
T & S	B-0133-12-CR-BC	0.65	$35	FS001
T & S	B-0133-12-CR-BJ	1.07	$35	FS001
T & S	B-0133-A06-08C	0.65	$35	FS001
T & S	B-0133-A06-B08C	0.65	$35	FS001
T & S	B-0133-A08-08C	0.65	$35	FS001
T & S	B-0133-A08-B08C	0.65	$35	FS001
